Date,Pair,Timeframe,Data_Period_Months,Bars_Available,Bars_OOS,Config_Train_Window,Config_Test_Window,Config_Purge_Gap,Config_Step,Num_WF_Windows,Num_Trades,Trades_Per_Bar_Pct,Gross_Sharpe,Net_Sharpe,Max_Drawdown_Pct,Win_Rate_Pct,Profit_Factor,Total_Return_Pct,Base_Spread_Pips,Stable_Features,Regime_Trending_Pct,Regime_MeanRev_Pct,Regime_Volatile_Pct,Notes
2026-03-22,EURUSD,1H,18,9095,8064,756,21,5,21,384,1790,22.2,-3.637,-5.581,-86.4,35.4,0.805,-85.1,0.00012,"mom_1bar,mom_5bar,mom_10bar,mom_22bar,mom_63bar",80.3,12.9,6.8,Initial validation run; signal thresholds too tight (0.53/0.47); overtrading detected; only momentum features stable
2026-03-22,GBPUSD,1H,18,9096,8064,756,21,5,21,384,1675,20.8,-3.287,-6.363,-75.3,31.9,0.763,-74.1,0.00015,"mom_1bar,mom_5bar,mom_10bar,mom_22bar,mom_63bar",41.2,39.5,19.3,Initial validation run; more balanced regime distribution than EURUSD; cross-pair correlation 0.354
